Ticket ID,Summary,Current Status,Days in Current Status,Date Entered Status,Roadmap
PLD-118,Make Policy Renewable backoffice button,To Do Ideas,0,2026-03-23 14:48:32.386,Developer Experience
PLD-117,Tracking section start and completion in React Front End architecture,Assessing Viability & Value,0,2026-03-23 11:39:38.022,Unassigned
PLD-116,Fully Independent Ephemeral Environments,To Do Ideas,14,2026-03-09 13:47:16.290,Developer Experience
PLD-115,Visualize Rater's DSL tables via Quid UI,Idea Backlog,20,2026-03-03 14:12:03.212,Insurance Product Management
PLD-114,Reactified product application performance,Design/Solution Validation,13,2026-03-10 11:43:21.849,Journey 2.0
PLD-113,Streamlined rater local testing,Design/Solution Validation,14,2026-03-09 15:06:14.910,Developer Experience
PLD-112,Should we and How can we shift left Contract Validation?,Assessing Viability & Value,25,2026-02-27 11:21:12.509,Frontend Architecture
PLD-111,Synchronous Quoting won't scale with external carriers.,Idea Backlog,28,2026-02-23 15:38:57.736,Insurance Product Management
PLD-110,Async quoteset generation,To Do Ideas,29,2026-02-23 08:47:54.388,Insurance Product Management
PLD-108,Smoke test harness for Rater,Idea Backlog,39,2026-02-12 16:35:14.031,Developer Experience
PLD-100,Simulation Runner/Testing,Idea Design & Solutioning,7,2026-03-16 12:58:10.678,Insurance Product Management
PLD-99,Governance & Publishing Workflow,Design/Solution Validation,21,2026-03-02 14:16:28.902,Insurance Product Management
PLD-98,Filter Rules (Hiscox Business),Idea Backlog,34,2026-02-17 18:24:07.543,Insurance Product Management
PLD-96,Quid test harness,Idea Backlog,56,2026-01-26 15:28:00.459,Developer Experience
PLD-95,quid+risk_profiler co-dependency problem (i.e. merge the projects),Idea Backlog,56,2026-01-26 15:27:50.284,Developer Experience
PLD-94,can we use feature flagging for non-insurer-build work,Idea Backlog,56,2026-01-26 15:09:22.920,Developer Experience
PLD-93,DevContainers for consistent app environment locally,Idea Backlog,40,2026-02-12 11:03:16.245,Developer Experience
PLD-92,Inflight questions/sections reordering,Idea Backlog,34,2026-02-18 11:24:42.131,Journey 2.0
PLD-91,Providing just in time questions / sections to FE product application,Design/Solution Validation,14,2026-03-10 11:33:47.871,Journey 2.0
PLD-90,Interrupt product application,Idea Backlog,34,2026-02-18 11:24:47.239,Journey 2.0
PLD-89,Securely resuming product application,Idea Backlog,34,2026-02-18 11:24:43.712,Journey 2.0
PLD-88,Consistent questions / sections ordering / wording for each individual customer,Design/Solution Validation,14,2026-03-10 10:21:23.763,Journey 2.0
PLD-85,How can we harden Quote Retrieval mechanism for Cross-Sell,Idea Backlog,97,2025-12-16 12:39:33.433,Insurance Product Management
PLD-82,"for coco testing, use dockerised chopin master to generate policy to be renewed",Idea Backlog,56,2026-01-26 15:09:26.601,Developer Experience
PLD-81,use dotenv in coco,Idea Backlog,103,2025-12-11 10:47:23.359,Developer Experience
PLD-78,knowledgebase/wiki/shared doc/chatbot for local dev troubleshooting,Idea Backlog,56,2026-01-26 15:09:25.208,Developer Experience
PLD-66,Federated Personalisation Decisioning with Centralised State (SO),Idea Backlog,34,2026-02-18 11:24:48.848,Journey 2.0
PLD-63,"How can we gain a complete, end-to-end view of the multi-product customer journey?",Idea Backlog,201,2025-09-04 10:50:10.997,Sales Opportunity Framework
PLD-59,Can we have an unique sales opportunity id for the same customer until the sale is finalised,Idea Backlog,210,2025-08-26 09:16:43.389,Journey 2.0
PLD-58,Can a customer come back and resume the journey from where they left off?,Idea Backlog,210,2025-08-26 08:46:45.881,Journey 2.0
PLD-57,"Can we create a single, seamless customer journey for customers purchasing multiple products?",Idea Backlog,187,2025-09-17 13:07:17.730,Journey 2.0
PLD-56,How can we ensure that Models and Questionnaires are compatible?,Idea Design & Solutioning,1,2026-03-23 10:33:14.806,Insurance Product Management
PLD-55,Seamless switching between verticals,Idea Backlog,217,2025-08-19 10:48:46.861,Journey 2.0
PLD-54,Tailor the first question based on a data model,Idea Backlog,217,2025-08-19 10:45:43.104,Journey 2.0
PLD-52,Personalise copy on page rendering,Idea Backlog,217,2025-08-19 10:44:27.186,Journey 2.0
PLD-49,can we inject an interstitial page in between questionnaire questions by adding additional content (interstitial) in Q2Q at realtime,Idea Backlog,232,2025-08-04 10:45:36.709,Journey 2.0
PLD-48,can we inject an interstitial page in between questionnaire questions by breaking Q2Q in half (in realtime) insert a page and resume Q2Q,Idea Backlog,232,2025-08-04 10:45:32.540,Journey 2.0
PLD-47,Can we achieve consisency of sessionization between Amplitude and Looker?,Idea Backlog,234,2025-08-01 14:49:20.019,Sales Opportunity Framework
PLD-46,Tracking across multiple journeys?,Idea Backlog,34,2026-02-18 11:25:10.272,Sales Opportunity Framework
PLD-45,How can analysts interpret customer paths through dynamic and multi-product opportunities?,Idea Backlog,234,2025-08-01 14:14:31.515,Sales Opportunity Framework
PLD-44,What data can we provide to a decision making service for the next step?,Idea Backlog,234,2025-08-01 14:09:51.849,Sales Opportunity Framework
PLD-42,Can we centralise customer personalisation logic and decision,Idea Backlog,241,2025-07-25 15:45:29.302,Journey 2.0
PLD-41,Can we divert the journey with an interstitial page using customer's realtime interactions and recent events?,Idea Backlog,187,2025-09-17 12:44:23.397,Journey 2.0
PLD-40,Journey Orchestration,Idea Backlog,244,2025-07-23 09:42:29.433,Journey 2.0
PLD-23,Pushing Q2Q journey onto CTM,Idea Backlog,218,2025-08-18 10:02:24.742,Frontend Architecture
PLD-22,Add React to pages QCP to Purchase,Idea Backlog,294,2025-06-03 09:13:53.131,Frontend Architecture
PLD-11,Reduce Rater CI time,Idea Backlog,103,2025-12-11 10:47:27.229,Developer Experience
PLD-9,Platform Investment Case: Coverage diagnosis,Idea Backlog,218,2025-08-18 10:02:19.849,Frontend Architecture
PLD-8,Platform Investment Case: Reactify post-quote pages,Idea Backlog,218,2025-08-18 10:02:11.150,Frontend Architecture
PLD-4,Sales Opportunity Data Framework,Idea Backlog,312,2025-05-15 14:18:20.066,Sales Opportunity Framework
DP-1192,Show all Employee questions on one screen,To Do Ideas,0,2026-03-24 09:49:58.122,UK Buy
DP-1191,Provide extra clarity on Risk Address screen for Sole Traders,To Do Ideas,0,2026-03-24 09:44:49.223,UK Buy
DP-1190,Apply Cap n Collar approach at Manual Renewal,Idea Backlog,0,2026-03-23 15:28:06.198,UK IP Ecosystems Dev
DP-1189,[Home page] Closed widget UI/UX iterations for brand balance,Idea Backlog,0,2026-03-23 12:32:33.857,US Research Brand & Experiments
